Name,Mfr,Size,Tube OD,Tube ID,Lobe,Stage,Rubber Type,Rate of Change,Rate of Change,Old ROC,Std Stator,Rotor OD,Min,Go_Min,Go_Max,Max
DD962564.0_HR,DD,962,9.63,7.88,56,4,NBR-HR,.092/200,0.00046,0.000373,5.318,5.341,,0.015,0.025,
DD962783.9_HR,DD,962,9.63,7.88,78,3.9,NBR-HR,.075/200,0.000375,0.000267,5.756,5.778,,0.015,0.025,
DD962784.8_HR,DD,962,9.63,7.88,78,4.8,NBR-HR,.082/200,0.00041,0.000333,5.634,5.663,,0.015,0.025,
DD800785.9_HR,DD,800,8,6.25,78,5.9,NBR-HR,.054/200,0.00027,,4.588,4.6,,0.015,0.025,
BT800783.4_ESX,BT,800,8,6.25,78,3.4,ESX,.016/50,0.00032,,4.724,4.726,,0.02,0.035,
DD800783.4_HR,DD,800,8,6.25,78,3.4,NBR-HR,.063/200,0.000315,0.00024,4.731,4.726,,0.015,0.025,
BT800784.0_EVENTEK,BT,800,8,6.25,78,4,EvenTek,.020/130,0.000154,,4.603,4.6,,0,0.005,
BT800784.0_HPW,BT,800,8,6.25,78,4,HPW,.020/60,0.000333,,4.587,4.6,,0.005,0.015,
DD800784.0_HR,DD,800,8,6.25,78,4,NBR-HR,.055/200,0.000275,0.0002,4.596,4.6,,0.015,0.025,
DD800784.0_XP,DD,800,8,6.25,78,4,XP,.055/200,0.000275,,4.596,4.6,,0.015,0.025,
DD775456.0_HR,DD,775,7.75,6.25,45,6,NBR-HR,.083/200,0.000415,0.00024,4.306,4.305,,0.015,0.025,
DD775784.0_HR,DD,775,7.75,6.25,78,4,NBR-HR,.058/200,0.00029,0.0002,4.596,4.6,,0.015,0.025,
DD7256710.7_HR,DD,725,7.25,5.75,67,10.7,NBR-HR,.026/150,0.000173,,4.322,4.322,,0.015,0.025,
DD725788.2_HR,DD,725,7.25,5.75,78,8.2,NBR-HR,.030/200,0.00015,,4.489,4.489,,0.015,0.025,
DD700568.2_HR,DD,700,7,5.5,56,8.2,NBR-HR,.067/200,0.000335,0.000235,3.689,3.702,,0.015,0.025,
DD700568.2_XP,DD,700,7,5.5,56,8.2,NBR-HR,.067/200,0.000335,,3.689,3.702,,0.015,0.025,
DD700786.8_HR,DD,700,7,5.5,78,6.8,NBR-HR,.052/200,0.00026,0.000175,4.022,4.037,,0.015,0.025,
BT675451.2,BT,675,7,5.5,45,1.2,HPW,.036/100,0.00036,,,,,,,
BT675457.0,BT,675,7,5.5,45,7,HPW,.036/100,0.00036,,3.499,3.51,,0.01,0.02,
BT675457.0_EVENTEK,BT,675,7,5.5,45,7,EvenTek,.016/150,0.000107,,3.516,3.51,,0,0.005,
DD675457.0_HR,DD,675,6.75,5.5,45,7,NBR-HR,.077/200,0.000385,0.000275,3.507,3.51,,0.015,0.025,
DD675783.5_HR,DD,675,6.75,5.5,78,3.5,NBR-HR,.06/200,0.0003,0.00018,4.142,4.146,,0.015,0.025,
BT675785.0,BT,675,7,5.5,78,5,HPW,.008/30,0.000267,,3.989,4.008,,0.01,0.0225,
DD675785.0_HR,DD,675,6.75,5.5,78,5,NBR-HR,.053/200,0.000265,0.00022,3.995,4.008,,0.015,0.025,
BT675785.7_SX,BT,675,7,5.5,78,5.7,SX,.016/50,0.00032,,4.147,4.152,,0.01,0.025,
DD675785.7_HR,DD,675,6.75,5.5,78,5.7,NBR-HR,.061/200,0.000305,0.00018,4.158,4.152,,0.015,0.025,
DD675785.7_XP,DD,675,6.75,5.5,78,5.7,XP,.061/200,0.000305,,4.138,4.152,,0.015,0.025,
BT675786.0,BT,675,7,5.5,78,6,HPW,.008/30,0.000267,,3.989,4.008,,0.01,0.0225,
BT675786.4,BT,675,7,5.5,78,6.4,HPW,.016/60,0.000267,,3.989,4.008,,0.01,0.0225,
DD525786.8_HR,DD,525,5.25,4.25,78,6.8,NBR-HR,.018/150,0.00012,,3.261,3.261,,0.015,0.025,
BT500566.7,BT,500,5,4,56,5.7,HPW,.033/100,0.00033,,2.64,2.65,,,,
BT500678.0,BT,500,5,4,67,8,HPW,.015/50,0.0003,,2.643,2.634,,0.01,0.02,
DD500678.0_HR,DD,500,5,4,67,8,NBR-HR,.056/200,0.000325,0.00021,2.619,2.635,,0.015,0.025,
DD500788.4_HR,DD,500,5,4,78,8.4,NBR-HR,.045/200,0.000225,0.000127,3.009,3.009,,0.015,0.025,
DD500788.4_XP,DD,500,5,4,78,8.4,XP,.045/200,0.000225,,3.009,3.009,,0.015,0.025,
DD475456.0_HR,DD,475,4.75,3.75,45,6,NBR-HR,.036/200,0.00018,0.00018,2.53,2.532,,0.015,0.025,
DD475568.3_HR,DD,475,4.75,3.75,56,8.3,NBR-HR,.045/250,0.00018,0.00018,2.489,2.502,,0.015,0.025,
DD475782.6_HR,DD,475,4.75,3.75,78,2.6,NBR-HR,.013/100,0.00013,0.00013,2.746,2.748,,0.015,0.025,
BT475783.8,BT,475,5,4,78,3.8,HPW,.027/110,0.000245,,2.6,2.619,,0.01,0.02,
DD475783.8_HR,DD,475,4.75,3.75,78,3.8,NBR-HR,.045/200,0.000225,0.000167,2.61,2.619,,0.015,0.025,
