CID#,DTN,Status,RSA or PR,Date,Tech,Coating Status,Config,Coating Type,Overall Length,Top Conn Insp Results,Bottom Conn Insp Results,Mean Dia 1,Mean Dia 2,Mean Dia 3,Mean Dia 4,Mean Dia 5,Rotor Avg,Major OD Avg,Coating Evaluation,Secondary Damage,Result,Data Status
F67R0712,RVTF-67026,Dirty In,PR-3880,1/10/2020,EF,Used,,Chrome,196,OK,OK,4.007,4.008,4.006,4.008,4.007,4.0072,4.52,Chipping ,Chipping ,Rework,
17-0501-08-018,RVMA-710033,Dirty In,,,JL,Used,DD675785.7,Chrome,251.5,OK,OK,4.152,4.151,4.152,4.152,4.152,4.1518,4.644,OK,OK,OK,Archive
19-0489-01-008,RVMA-850007,Dirty In,,,,Used,DD800785.9,Chrome,,,,,,,,,,,,,,Archive
867194,RVDF-70098,Dirty In,PR-05133,4/21/2020,EF,Used,DD7007868,Chrome,248,OK,OK,4.035,4.033,4.035,4.033,4.027,4.0326,4.54,HEAT CRACKS,HEAT CRACKD,Rework,Active
F77R0121,RVTF-77001,Incoming,,5/1/2019,JA,Used,DD775456.0,Carbide,261.75,OK,Chase & Face,4.305,4.305,4.303,4.304,4.304,4.3042,5.141,OK,OK,Rework,Active
F77R0234,RVTF-77002,Incoming,,11/11/2019,JV,Used,DD775456.0,Chrome,205.5,OK,OK,4.598,4.6,4.6,4.6,4.602,4.6,5.444,OK,OK,OK,Active
7125-RMX,RVTF-77003,Incoming,,4/30/2019,JA,Used,DD775456.0,Chrome,261.75,OK,OK,4.304,4.305,4.304,4.303,4.305,4.3042,5.142,Chipping ,OK,Rework,Active
F77R0121,RVTF-77003,Incoming,,9/11/2019,J.V,Used,DD775456.0,Chrome,261.875,OK,OK,4.308,4.307,4.306,4.304,4.307,4.3064,5.139,OK,OK,OK,Active
F77R0120,RVTF-77003,Incoming,,1/14/2020,JV,Used,DD775456.0,Carbide,263.75,OK,OK,4.301,4.3,4.305,4.3,4.304,4.302,5.14,OK,OK,OK,Active
F77R0226,RVTF-77004,Incoming,,2/21/2020,IO,Used,DD775456.0,Carbide,261.875,OK,OK,4.297,4.297,4.296,4.297,4.298,4.297,,OK,OK,OK,Active
F77R0226,RVTF-77006,Incoming,,5/30/2019,JL,Used,DD775456.0,Chrome,262.06,OK,OK,4.308,4.306,4.307,4.308,4.307,4.3072,5.143,Chipping ,OK,Rework,Active
F77R0118,RVTF-77006,Incoming,,11/12/2019,JV,Used,DD775456.0,Carbide,261.875,OK,OK,4.301,4.303,4.302,4.307,4.303,4.3032,5.141,OK,OK,OK,Active
7124-RMX,RVTF-77008,Incoming,,5/28/2019,RS,Used,DD775456.0,Chrome,261.88,OK,OK,4.304,4.303,4.304,4.303,4.303,4.3034,5.142,Pitting,OK,Rework,Active
F77R0118,RVTF-77008,Dirty In,,7/4/2019,JL,Used,DD775456.0,Chrome,261.75,OK,OK,4.307,4.308,4.308,4.307,4.308,4.3076,5.143,OK,OK,OK,Active
7124-RMX,RVTF-77008,Incoming,,11/4/2019,JV,Used,DD775456.0,Chrome,261.875,OK,OK,4.298,4.301,4.301,4.302,4.302,4.3008,5.139,OK,OK,OK,Active
7124-RMX,RVTF-77008,Incoming,,11/15/2019,JV,Used,DD775456.0,Chrome,261.75,Chase & Face,OK,4.302,4.305,4.299,4.3,4.3041,4.30202,5.14,Chipping ,OK,Rework,Active
7124-RMX,RVTF-77010,Incoming,,3/29/2019,RS,Used,DD775456.0,Chrome,261.88,OK,OK,4.304,4.303,4.304,4.303,4.303,4.3034,5.142,OK,OK,OK,Active
F77R0222,RVTF-77010,Incoming,,2/23/2020,JV,Used,DD775456.0,Carbide,261.75,OK,OK,4.294,4.297,4.3,4.299,4.298,4.2976,,OK,OK,OK,Active
F77R0222,RVTF-77010,Incoming,,7/8/2020,JV,Used,DD775456.0,Chrome,261.75,OK,OK,4.299,4.597,4.297,4.298,4.296,4.3574,,Chipping ,OK,Rework,Active
F77R0119,RVTF-77011,Incoming,,8/29/2019,J.V,Used,DD775456.0,Chrome,261.75,OK,OK,4.302,4.305,4.309,4.306,4.308,4.306,5.138,OK,OK,OK,Active
F50R0119,RVTF-77011,Incoming,,9/13/2019,J.V,Used,DD775456.0,Carbide,261.875,OK,OK,4.302,4.303,4.306,4.306,4.305,4.3044,5.137,OK,OK,OK,Active
F77R0224,RVTF-77013,Dirty In,,6/27/2019,AK,Used,DD775456.0,Chrome,261.94,OK,OK,4.304,4.306,4.306,4.307,4.306,4.3058,5.142,Pitting,OK,Rework,Active
7124-RMX,RVTF-77013,Incoming,,8/21/2019,J.V,Used,DD775456.0,Chrome,201.75,OK,OK,4.303,4.302,4.304,4.298,4.299,4.3012,5.169,OK,OK,OK,Active
F77R0224,RVTF-77015,Incoming,,8/31/2019,J.V,Used,DD775456.0,Chrome,262,OK,OK,4.311,4.313,4.307,4.315,4.306,4.3104,5.148,OK,OK,OK,Active
F77R0299,RVTF-77015,Incoming,,11/5/2019,JV,Used,DD775456.0,Carbide,205.5,OK,OK,4.6,4.602,4.601,4.602,4.599,4.6008,5.439,OK,OK,OK,Active
F77R0227,RVTF-77016,Incoming,,6/13/2019,JL,Used,DD775456.0,Chrome,261.94,OK,OK,4.308,4.306,4.305,4.306,4.306,4.3062,5.144,Chipping ,OK,Rework,Active
F77R0225,RVTF-77016,Incoming,,7/28/2020,JV,Used,DD775456.0,Chrome,262,OK,OK,4.3,4.302,4.304,4.303,4.301,4.302,,Pitting,OK,Rework,Active
F77R0227,RVTF-77018,Incoming,,3/20/2019,RS,Used,DD775456.0,Chrome,261.88,OK,OK,4.307,4.308,4.307,4.307,4.309,4.3076,5.141,Pitting,Corrosion,Rework,Active
