CID,DTN,Status,PR or RSA #,Date,Tech Initials,Rubber Status,Config,Stator Fit,Rubber Type,Overall Length,Top Conn Insp Results,Bottom Conn Insp Results,Minor ID 1,Minor ID 2,Minor ID 3,Minor ID 4,Minor ID 5,Minor ID 6,Minor Avg,Rubber Temp During Mesaurement,Minor Avg at 75F,Rubber Evaluation,Secondary Damage,Bond,Current Hardness,Run Hours,RSS Run?,Run Mud Type,Mud Temp,Primary Damage,Secondardy Damage,Data Status
20-0772-01-002,RVDF-50005,Incoming,,11/23/2020,IO,Used,DD525786.8_HR,STD,HR,264,OK,OK,3.261,3.263,3.268,3.26,3.261,3.268,3.2635,,3.2725,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F50S0550,RVDF-50040,Incoming,,11/23/2020,IO,Used,DD500788.4_HR,STD,HR,249.75,OK,OK,3.003,3.007,3.007,3.005,3.007,3.01,3.0065,,3.023375,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F50S0552,RVDF-50046,Incoming,,11/23/2020,IO,Used,DD500788.4_HR,STD,HR,247.875,OK,OK,3,3.001,3.002,3,3.002,3.005,3.001666667,,3.018541667,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F50S0577,RVDF-50034,Incoming,,11/23/2020,IO,Used,DD500788.4_HR,STD,HR,249.5,OK,OK,3.016,3.017,3.019,3.013,3.016,3.016,3.016166667,,3.033041667,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F52S0018,RVDF-50060,Incoming,,11/23/2020,IO,Used,DD525786.8_HR,STD,HR,264.0625,OK,OK,3.26,3.263,3.266,3.261,3.263,3.266,3.263166667,,3.272166667,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F50S0615,RVDF-50013,Incoming,,11/22/2020,JV,Used,DD500788.4_HR,STD,HR,248.125,OK,OK,3.006,3.005,3.006,3.004,3.004,3.009,3.005666667,,3.022541667,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F52S0011,RVDF-50068,Incoming,,11/20/2020,JV,Used,DD525786.8_HR,STD,HR,259,OK,OK,3.26,3.255,3.257,3.259,3.258,3.257,3.257666667,,3.266666667,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F52S0016,RVDF-50016,Incoming,,11/20/2020,JV,Used,DD525786.8_HR,STD,HR,264.125,OK,OK,3.26,3.259,3.263,3.257,3.259,3.262,3.26,,3.269,OK,OK,OK,NA,,Choose,,,OK,Reline,Active
F67S4317,RVTF-67017,Dirty In,PR-6110,11/20/2020,RS,Used,DD675785.7_HR,1US,HR,258.62,OK,OK,4.172,4.174,4.168,4.172,4.169,4.192,4.1745,72,4.173,RIBBING,OK,,,36.7,,OBM,117,,RELINE,
F67S4333,RVDF-70090,Dirty In,PR-5082,11/20/2020,RS,Used,DD675785.7_HR,1US,XP,259.25,DT,DT,4.148,4.141,4.146,4.141,4.146,4.149,4.145166667,72,4.144,RIBBING,,DEBOND,83,32.3,,WBM,127,Rework Threads,Reline,
F67S0893,RVDF-70036,Dirty In,PR-5659,11/20/2020,RS,Used,DD675785.7_HR,STD,XP,255,DT,DT,4.162,4.16,4.171,4.162,4.162,4.165,4.163666667,73,4.162,RIBBING,,,83,11.3,YES,OBM,190,Rework Threads,RELINE,
