CID,DTN,Status,Date,Tech,Rubber Status,Last Reline Cert Date,Config,Stator Fit,Rubber Type,Overall Length,"Top Conn
 Insp Results","Bottom Conn
 Insp Results","Minor ID
1","Minor ID
2","Minor ID
3","Minor ID
4","Minor ID
5","Minor ID
6",Minor Avg,Rubber Temp During Mesaurement,"Minor Avg 
at 75F","Rubber
Evaluation",Secondary Damage,Bond,Current Hardness,Run Hours,RSS Run?,Run Temp,"Primary
Results","Secondary
Results",Data Status
F47S0181,RVTF47002,Incoming,6/14/2018,AR,Used,,Choose,STD,HR,242 1/4,OK,OK,2.498,2.495,2.497,2.496,2.498,2.501,2.498,75,-,OK,OK,OK,N/A,,Choose,,OK,OK,Active
F47S0488,RVTF47002,Outgoing,1/30/2019,JV,Fresh Reline,,DD475568.3_HR,STD,HR,241 3/4,OK,OK,2.496,2.499,2.497,2.496,2.498,2.500,2.498,75,2.498,OK,OK,OK,NA,,Choose,,OK,OK,Active
F52S0011,RVDF50050,Outgoing,4/8/2019,J.V,Fresh Reline,,DD525786.8_HR,STD,HR,263 3/4,OK,OK,3.264,3.264.,3.264,3.264,3.267,3.271,3.266,86,3.265,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
F52S0007,RVDF50046,Outgoing,4/8/2019,J.V,Fresh Reline,,DD525786.8_HR,STD,HR,264 1/2,OK,OK,3.261,3.264,3.264,3.262,3.263,3.267,3.264,86,3.262,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
F50S0378,RVDF50012,Incoming,4/9/2019,J.V,Used,,DD500788.4_HR,STD,HR,248 5/8,OK,OK,3.015,3.018,3.018,3.013,3.013,3.013,3.015,74,3.015,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
F50S0577,RVDF50013,Incoming,4/10/2019,J.V,Used,,DD500788.4_HR,STD,HR,250 1/4,OK,OK,3.001,3.000,3.005,3.000,3.003,3.006,3.003,71,3.004,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
F50S0432,RVDR50049,Incoming,4/10/2019,J.V,Used,,DD500788.4_HR,STD,HR,248 1/2,OK,OK,3.011,3.012,3.012,3.011,3.012,3.014,3.012,71,3.013,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
17-0501-03-009,RVMA510013,Incoming,4/10/2019,J.V,Used,,DD500678.0_HR,STD,HR,250 1/8,OK,OK,2.630,2.631,2.631,2.627,2.626,2.628,2.629,62,2.632,OK,OK,OK,N/A,,Choose,,OK,OK,Active
17-0501-03-003,RVMA510013,Outgoing,4/11/2019,J.V,Fresh Reline,,DD500678.0_HR,STD,HR,250,OK,OK,2.623,2.620,2.623,2.627,2.627,2.628,2.625,75,2.625,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
F47S0508,RVTF47002,Outgoing,4/11/2019,J.V,Fresh Reline,,DD475568.3_HR,STD,HR,252 3/4,OK,OK,2.494,2.494,2.493,2.496,2.496,2.497,2.495,73,2.495,OK,OK,OK,N/A,,Choose,,OK,OK,Archive
